Thu Mar 31 2022 14:21:02 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:21:41 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:22:12 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:24:25 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:24:47 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:25:50 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:26:51 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:27:06 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":3,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:27:52 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /approvePending | data:{"message":"API Done","data":"M0P-00000314","value":{"id":3,"user_id":"1"},"status":true} | 
Thu Mar 31 2022 14:27:52 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 31 2022 14:30:31 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 31 2022 14:31:08 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /declinePending | data:{"message":"API Done","value":{"id":2,"user_id":"1"},"status":true} | 
Thu Mar 31 2022 14:31:08 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 31 2022 14:32:50 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":2,"status":true} | 
Thu Mar 31 2022 14:32:53 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":2,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:33:46 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":2,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:34:14 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":2,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:34:57 GMT+0800 (Malaysia Time) | ERROR | pendingparts-api.log | API: /approvePending | data:{"message":"API Failed: TypeError: Cannot read properties of undefined (reading 'erp_code')","value":{"id":2,"user_id":"1"},"status":false} | 
Thu Mar 31 2022 14:35:33 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /approvePending | data:{"message":"API Done","data":"M0A-00001613","value":{"id":2,"user_id":"1"},"status":true} | 
Thu Mar 31 2022 14:35:33 GMT+0800 (Malaysia Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":2,"status":true} | 
Sat Apr 16 2022 12:25:38 GMT+0800 (China Standard Time) | INFO | pendingparts-api.log | API: /getAllPendings | data:{"message":"API Done","total":0,"status":true} | 
